heart_rate,enhanced_speed,cadence
82,0.0,0
80,0.0,0
79,0.0,0
77,0.0,0
75,0.0,0
74,0.0,0
74,0.0,0
73,0.0,93
74,0.0,95
75,1.222,93
76,1.232,94
77,2.538,94
78,2.585,94
79,2.594,94
82,2.613,94
84,2.622,94
86,2.622,95
88,2.622,95
88,2.65,95
90,2.669,95
92,2.678,95
94,2.697,95
96,2.706,95
100,2.706,94
103,2.706,94
106,2.697,94
108,2.706,93
109,2.706,93
111,2.697,94
112,2.687,94
112,2.678,94
113,2.678,94
114,2.678,93
115,2.669,93
115,2.65,92
117,2.622,92
118,2.594,92
119,2.566,92
120,2.51,92
121,2.445,91
122,2.407,91
123,2.37,90
124,2.342,90
124,2.305,90
125,2.249,90
125,2.193,90
126,2.155,90
127,2.109,88
127,2.006,87
127,1.959,86
128,1.959,86
128,2.118,86
128,2.211,89
128,2.267,90
128,2.323,90
128,2.351,90
128,2.389,90
128,2.435,89
128,2.463,89
128,2.501,89
128,2.529,88
128,2.547,88
128,2.557,89
128,2.585,90
128,2.613,90
129,2.631,90
129,2.65,90
129,2.669,90
129,2.678,90
130,2.687,91
130,2.715,91
131,2.734,91
131,2.753,91
131,2.762,91
131,2.781,90
131,2.79,90
131,2.809,90
131,2.827,91
131,2.837,91
131,2.846,90
131,2.865,90
131,2.874,90
131,2.893,90
131,2.902,91
130,2.911,91
130,2.921,90
130,2.93,90
130,2.939,90
129,2.948,90
129,2.958,91
129,2.967,91
129,2.976,91
128,2.986,91
128,2.995,91
128,3.004,91
127,3.014,91
127,3.014,91
127,3.023,91
127,3.032,90
126,3.032,90
126,3.042,90
126,3.051,90
125,3.051,90
125,3.06,90
125,3.06,90
125,3.07,90
125,3.07,90
124,3.079,90
124,3.079,90
124,3.088,91
124,3.088,92
124,3.098,92
124,3.098,92
124,3.107,92
124,3.116,91
124,3.116,91
124,3.116,91
124,3.126,91
123,3.126,91
123,3.135,91
123,3.135,91
123,3.135,90
122,3.144,90
122,3.144,90
122,3.144,90
122,3.144,91
121,3.154,90
121,3.154,90
121,3.154,90
121,3.154,89
121,3.163,89
121,3.163,89
120,3.163,89
120,3.163,89
120,3.163,89
119,3.163,90
119,3.163,90
118,3.163,90
117,3.163,90
117,3.163,90
117,3.163,90
117,3.163,90
116,3.163,90
116,3.163,90
116,3.163,90
116,3.172,90
117,3.172,90
117,3.172,90
117,3.172,90
117,3.182,90
117,3.182,90
117,3.182,91
117,3.182,91
117,3.182,91
117,3.191,91
118,3.191,91
118,3.191,91
118,3.191,92
119,3.191,92
119,3.2,92
120,3.2,92
120,3.2,91
121,3.2,91
121,3.21,91
122,3.21,90
122,3.219,90
121,3.219,90
121,3.228,90
121,3.228,91
120,3.228,91
120,3.238,91
119,3.247,91
119,3.247,91
119,3.247,91
118,3.256,91
118,3.256,91
118,3.256,91
118,3.266,91
118,3.266,91
117,3.266,91
117,3.266,90
117,3.266,90
117,3.266,90
117,3.266,90
117,3.266,90
116,3.266,90
116,3.266,90
116,3.266,90
116,3.266,90
116,3.266,91
115,3.266,91
115,3.266,91
115,3.266,90
115,3.266,89
115,3.266,89
115,3.256,90
115,3.256,91
115,3.256,91
115,3.247,90
115,3.247,90
114,3.247,90
114,3.247,90
114,3.247,90
114,3.247,90
114,3.238,90
114,3.238,90
114,3.238,90
113,3.238,90
113,3.238,90
113,3.238,91
113,3.247,92
113,3.247,92
114,3.247,92
114,3.247,91
114,3.256,91
114,3.256,92
114,3.256,92
115,3.266,92
115,3.266,93
115,3.266,93
116,3.275,92
116,3.275,92
117,3.275,91
117,3.275,91
118,3.275,92
118,3.275,92
118,3.275,91
119,3.275,91
120,3.266,91
120,3.266,92
121,3.266,92
121,3.266,92
122,3.266,92
123,3.266,92
123,3.266,92
124,3.266,92
125,3.266,92
125,3.256,92
126,3.256,92
127,3.256,93
128,3.256,93
129,3.256,93
129,3.247,93
130,3.247,93
130,3.247,93
132,3.238,93
133,3.238,93
134,3.228,92
134,3.228,92
135,3.219,92
136,3.219,92
136,3.21,92
137,3.21,92
138,3.21,92
138,3.2,92
139,3.2,91
139,3.191,91
140,3.191,91
141,3.182,91
141,3.182,91
142,3.182,91
143,3.172,91
143,3.172,91
144,3.023,90
144,2.958,90
144,2.939,90
145,2.902,90
145,2.827,90
146,2.827,91
146,2.594,91
147,2.482,91
147,2.417,91
147,2.361,91
148,2.295,90
148,2.249,90
148,2.239,90
148,2.239,91
149,2.23,91
149,2.23,91
149,2.239,90
149,2.258,90
150,2.267,90
150,2.277,91
150,2.286,91
150,2.295,90
150,2.305,90
150,2.314,90
150,2.314,90
150,2.323,90
150,2.333,90
150,2.342,90
151,2.379,90
151,2.417,91
151,2.435,91
151,2.435,91
151,2.435,91
151,2.426,91
151,2.398,91
152,2.379,91
152,2.37,91
152,2.361,90
152,2.361,90
152,2.361,90
153,2.361,91
153,2.361,91
154,2.361,91
154,2.361,90
155,2.361,90
155,2.361,90
155,2.361,90
155,2.361,90
156,2.361,91
156,2.361,91
155,2.361,91
155,2.351,90
155,2.351,90
155,2.351,90
155,2.342,90
155,2.342,90
155,2.333,90
154,2.333,90
155,2.323,90
155,2.314,91
154,2.305,91
154,2.305,90
154,2.305,90
154,2.295,90
154,2.295,90
154,2.295,91
154,2.295,91
154,2.295,91
154,2.295,91
155,2.305,91
155,2.305,90
155,2.305,90
155,2.305,90
156,2.305,90
156,2.305,90
156,2.314,91
156,2.314,91
157,2.314,91
157,2.314,91
157,2.314,91
157,2.314,90
157,2.323,90
157,2.323,90
158,2.323,89
158,2.333,89
158,2.333,90
158,2.342,90
158,2.342,91
158,2.351,91
159,2.361,90
159,2.361,90
159,2.37,91
159,2.37,91
159,2.37,91
159,2.37,91
159,2.379,90
159,2.379,90
160,2.379,90
160,2.389,91
159,2.389,91
159,2.389,90
159,2.398,90
159,2.398,89
159,2.407,89
160,2.407,90
160,2.417,90
160,2.426,90
160,2.454,90
160,2.491,91
160,2.51,91
160,2.529,90
159,2.547,90
159,2.566,90
159,2.594,90
159,2.622,91
159,2.65,91
159,2.678,90
158,2.706,90
158,2.743,90
158,2.781,90
158,2.809,90
158,2.827,90
157,2.865,90
157,2.902,90
157,2.921,91
156,2.948,91
156,2.967,91
155,2.995,91
155,3.023,91
154,3.032,91
154,3.042,91
154,3.06,91
153,3.07,91
153,3.088,91
152,3.098,91
152,3.107,91
151,3.116,91
151,3.144,91
150,3.163,91
150,3.163,91
149,3.154,91
149,3.154,91
148,3.144,92
147,3.135,91
147,3.126,91
146,3.126,92
146,3.116,91
145,3.116,91
144,3.116,91
144,3.116,91
143,3.126,91
143,3.135,91
143,3.135,91
142,3.144,91
141,3.144,91
141,3.154,91
141,3.163,91
141,3.172,91
140,3.182,91
140,3.182,92
140,3.191,92
140,3.2,92
139,3.21,92
139,3.21,92
139,3.219,92
138,3.228,92
138,3.228,92
138,3.238,93
137,3.238,93
137,3.247,93
137,3.247,93
136,3.247,93
136,3.256,92
136,3.256,92
136,3.256,92
136,3.266,92
136,3.266,93
136,3.266,93
136,3.266,93
136,3.266,93
136,3.266,93
136,3.266,93
137,3.266,93
137,3.266,93
137,3.266,93
137,3.266,93
137,3.266,93
137,3.266,93
137,3.266,93
137,3.266,93
137,3.256,93
137,3.256,92
137,3.247,92
137,3.247,92
137,3.247,91
137,3.247,91
137,3.238,91
137,3.238,91
137,3.228,91
137,3.228,91
137,3.228,92
137,3.228,92
137,3.228,92
138,3.228,92
138,3.228,92
138,3.228,92
138,3.228,92
138,3.238,92
138,3.238,92
139,3.238,92
139,3.238,92
139,3.238,92
139,3.238,92
139,3.238,92
139,3.238,92
139,3.238,92
139,3.238,91
139,3.228,92
138,3.228,92
138,3.228,92
138,3.228,92
138,3.228,92
138,3.228,92
137,3.228,92
137,3.238,92
137,3.238,92
137,3.238,92
136,3.238,92
136,3.238,92
136,3.247,93
136,3.247,93
136,3.247,93
136,3.247,93
135,3.247,93
135,3.256,93
135,3.256,93
135,3.256,94
134,3.256,94
135,3.256,94
135,3.256,94
135,3.256,93
135,3.266,93
135,3.266,93
135,3.266,93
135,3.266,93
135,3.266,93
135,3.266,93
134,3.266,93
135,3.266,93
135,3.266,92
135,3.266,92
135,3.266,92
135,3.266,92
135,3.256,92
135,3.256,91
135,3.256,90
135,3.247,90
135,3.247,90
135,3.247,90
136,3.238,90
136,3.238,90
136,3.238,90
136,3.238,90
135,3.238,90
135,3.238,90
135,3.238,90
135,3.238,90
135,3.238,91
135,3.238,91
134,3.238,91
134,3.238,91
134,3.238,92
133,3.238,92
133,3.238,92
133,3.238,92
132,3.238,91
132,3.238,91
132,3.238,91
131,3.238,91
131,3.238,91
131,3.228,92
130,3.228,92
130,3.228,92
130,3.228,92
129,3.228,92
129,3.228,92
129,3.228,92
129,3.228,92
129,3.228,92
129,3.228,92
129,3.219,92
129,3.219,92
128,3.219,92
128,3.219,92
129,3.219,92
129,3.219,92
129,3.21,92
129,3.21,92
129,3.21,92
129,3.21,92
129,3.21,92
129,3.21,92
129,3.21,92
129,3.2,91
128,3.2,91
128,3.2,91
128,3.2,92
127,3.2,92
127,3.191,92
127,3.191,92
127,3.191,91
127,3.191,91
127,3.191,91
128,3.182,91
128,3.182,91
128,3.182,91
128,3.182,91
128,3.182,91
129,3.172,91
129,3.172,91
129,3.172,91
129,3.172,91
129,3.163,91
129,3.163,91
129,3.163,90
129,3.154,90
129,3.154,90
129,3.154,91
129,3.154,91
129,3.154,91
129,3.154,91
128,3.144,91
128,3.144,91
128,3.144,90
128,3.144,90
128,3.135,90
128,3.135,90
127,3.126,90
127,3.126,90
127,3.116,90
127,3.116,90
126,3.107,90
126,3.107,90
126,3.098,90
125,3.098,90
125,3.088,90
125,3.088,90
125,3.079,90
125,3.079,90
124,3.07,90
124,3.06,90
124,3.06,90
124,3.051,90
124,3.051,90
123,3.042,89
123,3.042,89
123,3.032,89
122,3.032,89
122,3.032,89
122,3.032,89
122,3.032,89
122,3.032,89
122,3.032,89
121,3.032,90
122,3.032,90
122,3.032,90
122,3.032,90
122,3.032,89
122,3.032,89
122,3.032,90
122,3.032,90
123,3.032,90
123,3.032,90
123,3.032,90
123,3.032,90
123,3.032,90
123,3.032,90
123,3.032,90
123,3.032,91
123,3.032,91
123,3.032,91
123,3.032,91
123,3.032,91
123,3.032,92
123,3.032,92
123,3.032,92
123,3.032,92
123,3.032,92
123,3.032,91
123,3.032,91
123,3.032,91
123,3.032,92
123,3.032,92
124,3.032,92
124,3.032,92
124,3.023,92
125,3.023,92
125,3.023,92
125,3.023,92
126,3.014,92
126,3.014,92
127,3.004,92
127,2.995,91
127,2.995,90
128,2.986,90
128,2.986,90
129,2.976,91
129,2.967,91
129,2.967,91
130,2.958,90
130,2.958,90
131,2.948,89
132,2.939,89
132,2.93,89
133,2.93,89
133,2.921,89
134,2.911,89
135,2.902,89
136,2.893,90
136,2.883,90
136,2.883,89
137,2.874,89
137,2.874,90
138,2.865,90
138,2.865,90
139,2.865,90
139,2.865,90
139,2.865,90
139,2.865,90
139,2.865,90
139,2.865,90
139,2.865,90
139,2.865,90
139,2.865,90
139,2.865,90
139,2.874,90
139,2.874,91
138,2.874,91
138,2.883,91
138,2.883,91
138,2.883,91
138,2.883,91
138,2.883,91
138,2.883,91
138,2.883,91
137,2.883,92
137,2.883,92
137,2.883,92
137,2.883,93
137,2.893,93
137,2.893,92
137,2.893,92
137,2.893,92
137,2.893,92
137,2.902,92
137,2.902,91
137,2.902,91
137,2.902,91
137,2.902,91
137,2.902,91
137,2.902,91
137,2.893,91
137,2.893,91
137,2.893,90
138,2.893,90
138,2.893,90
138,2.893,90
138,2.893,91
138,2.893,91
138,2.893,91
138,2.883,90
139,2.865,89
139,2.799,88
139,2.725,88
139,2.641,88
140,2.641,88
140,2.659,89
140,2.659,89
140,2.678,89
140,2.687,90
140,2.846,90
141,2.883,90
141,2.883,90
141,2.902,90
141,2.902,90
141,2.911,90
141,2.921,90
141,2.921,91
142,2.921,91
142,2.921,91
142,2.921,91
142,2.921,92
143,2.921,92
143,2.921,92
143,2.921,92
143,2.921,92
143,2.93,92
143,2.93,91
144,2.93,91
144,2.93,91
144,2.93,91
144,2.921,91
144,2.902,91
144,2.883,90
144,2.865,90
144,2.855,90
144,2.855,90
144,2.846,90
144,2.837,91
144,2.837,91
144,2.837,91
143,2.846,91
143,2.846,91
143,2.846,91
143,2.855,92
143,2.855,92
143,2.855,92
143,2.865,92
143,2.865,92
143,2.874,91
143,2.874,90
144,2.874,90
144,2.874,90
144,2.874,90
145,2.874,90
146,2.874,90
146,2.874,90
146,2.874,90
147,2.874,91
147,2.874,91
147,2.883,91
147,2.883,90
148,2.883,90
148,2.893,90
148,2.893,90
148,2.902,90
148,2.911,90
148,2.911,90
149,2.921,90
149,2.921,90
148,2.93,91
148,2.939,91
148,2.939,91
148,2.948,90
148,2.958,90
148,2.958,90
147,2.967,90
147,2.976,91
147,2.976,91
147,2.986,91
147,2.995,91
147,2.995,91
147,3.004,91
146,3.004,91
146,3.004,91
146,3.014,91
146,3.014,92
146,3.014,92
146,3.014,92
146,3.014,91
145,3.023,91
145,3.023,92
145,3.023,92
145,3.023,92
145,3.023,91
145,3.023,91
145,3.023,91
145,3.023,91
145,3.023,90
146,3.014,90
146,3.014,91
146,3.004,91
146,3.004,91
147,2.995,91
147,2.995,89
147,2.986,89
147,2.976,91
148,2.967,91
148,2.958,91
149,2.948,90
149,2.939,90
149,2.93,89
150,2.921,89
150,2.911,89
150,2.902,89
150,2.893,89
150,2.883,89
151,2.874,89
151,2.865,89
151,2.855,89
152,2.846,90
152,2.837,90
152,2.827,90
153,2.818,91
153,2.809,91
154,2.799,91
154,2.799,91
154,2.79,90
155,2.781,90
155,2.771,90
155,2.762,89
156,2.762,89
156,2.753,91
156,2.743,91
156,2.734,91
157,2.725,91
157,2.725,90
157,2.715,90
158,2.715,90
158,2.706,89
158,2.697,89
158,2.687,89
158,2.678,90
159,2.678,90
159,2.669,90
159,2.659,90
160,2.65,90
160,2.641,89
160,2.641,89
160,2.631,89
160,2.631,89
161,2.622,90
161,2.622,90
161,2.613,90
161,2.613,89
161,2.603,89
162,2.603,89
162,2.594,90
162,2.594,90
162,2.594,90
163,2.585,90
163,2.585,90
163,2.585,91
163,2.585,91
163,2.575,91
163,2.575,91
163,2.575,91
163,2.575,91
163,2.566,89
163,2.566,89
163,2.566,91
163,2.566,91
163,2.566,90
163,2.566,90
164,2.557,91
164,2.557,91
164,2.566,90
164,2.566,90
164,2.566,90
164,2.557,90
164,2.557,90
164,2.557,90
164,2.557,90
164,2.557,90
163,2.557,91
163,2.557,91
163,2.557,91
163,2.557,90
163,2.557,90
163,2.557,90
163,2.557,90
163,2.557,90
162,2.557,90
162,2.547,90
162,2.547,90
162,2.547,90
162,2.547,90
162,2.547,90
162,2.547,90
162,2.547,90
163,2.547,90
163,2.538,90
163,2.538,90
163,2.538,90
163,2.538,90
163,2.538,90
163,2.538,90
163,2.538,90
163,2.538,90
164,2.538,90
164,2.529,90
164,2.529,90
